collection_date,positive_result,positive_tests,total_tests,positivity,positivity_7day
2022-02-20,COVID,756,7490,0.10093457943925234,0.10298005212933256
2022-02-20,FluA,32,7490,0.004272363150867824,0.0041431588763186445
2022-02-21,COVID,990,11144,0.08883704235463029,0.09791944742682805
2022-02-21,FluA,59,11144,0.0052943287867910985,0.004344059433951765
2022-02-22,COVID,928,11586,0.08009666839288797,0.09283676821580346
2022-02-22,FluA,63,11586,0.0054375970999482135,0.004508407319826798
2022-02-23,COVID,791,12150,0.06510288065843621,0.08889941404392412
2022-02-23,FluA,74,12150,0.006090534979423868,0.004795191605073214
2022-02-24,COVID,804,11379,0.07065647244924862,0.08503096942533184
2022-02-24,FluA,59,11379,0.005184989893663766,0.004902268376458132
2022-02-25,COVID,581,9296,0.0625,0.08137789050644109
2022-02-25,FluA,47,9296,0.005055938037865749,0.004985684236911266
2022-02-26,COVID,569,7694,0.07395373017936054,0.07744019621054513
2022-02-26,FluA,35,7694,0.004548999220171562,0.005126393024104584
2022-02-27,COVID,476,6613,0.07197943444730077,0.07330374692598063
2022-02-27,FluA,44,6613,0.00665356116739755,0.005466564169323116
2022-02-28,COVID,622,10214,0.06089680830233014,0.06931228491850917
2022-02-28,FluA,55,10214,0.005384766007440768,0.005479483772273068
2022-03-01,COVID,519,10160,0.05108267716535433,0.06516742902886151
2022-03-01,FluA,60,10160,0.005905511811023622,0.005546328730998126
2022-03-02,COVID,546,10910,0.05004582951420715,0.06301642172254307
2022-03-02,FluA,53,10910,0.0048579285059578365,0.00537024209193155
2022-03-03,COVID,506,10003,0.05058482455263421,0.06014904345159816
2022-03-03,FluA,49,10003,0.00489853044086774,0.00532931931296069
2022-03-04,COVID,473,9018,0.05245065424706143,0.05871342262974979
2022-03-04,FluA,44,9018,0.004879130627633622,0.005304061111498957
2022-03-05,COVID,406,6743,0.06021058875871274,0.0567501167125144
2022-03-05,FluA,46,6743,0.006821889366750705,0.005628759703867406
2022-03-06,COVID,302,5806,0.052015156734412676,0.053898077039244666
2022-03-06,FluA,39,5806,0.006717189114708922,0.005637849410626173
2022-03-07,COVID,467,8906,0.05243655962272625,0.052689470085015545
2022-03-07,FluA,63,8906,0.007073882775656861,0.005879151806085615
2022-03-08,COVID,388,9316,0.04164877629884071,0.05134176996122788
2022-03-08,FluA,73,9316,0.007835981107771575,0.006154933134192466
2022-03-09,COVID,320,10574,0.030262909022129754,0.04851563846235968
2022-03-09,FluA,61,10574,0.005768867032343484,0.006285067209390416
2022-03-10,COVID,367,10386,0.03533602927017138,0.04633723913629356
2022-03-10,FluA,62,10386,0.005969574427113422,0.006438073493139798
2022-03-11,COVID,311,8961,0.03470594799687535,0.0438022811005527
2022-03-11,FluA,67,8961,0.007476844102220734,0.0068091754180808145
2022-03-12,COVID,234,6567,0.03563270899954317,0.04029115542067132
2022-03-12,FluA,41,6567,0.006243337901629359,0.006726525208777765
2022-03-13,COVID,259,5538,0.04676778620440592,0.03954153105924179
2022-03-13,FluA,38,5538,0.006861682918020947,0.006747167180679484
2022-03-14,COVID,407,9783,0.041602780333231115,0.03799384830359963
2022-03-14,FluA,87,9783,0.008892977614228765,0.007007037871904041
2022-03-15,COVID,377,9931,0.03796193736783808,0.03746715702774211
2022-03-15,FluA,82,9931,0.00825697311448998,0.007067179587149528
2022-03-16,COVID,312,10639,0.029326064479744337,0.03733332209311562
2022-03-16,FluA,83,10639,0.007801485101983269,0.007357553597098068
2022-03-17,COVID,356,9559,0.037242389371273145,0.037605659250415875
2022-03-17,FluA,90,9559,0.009415210796108379,0.007849787364097348
2022-03-18,COVID,334,8835,0.03780418788907753,0.0380482649493019
2022-03-18,FluA,76,8835,0.008602150537634409,0.0080105454262993
2022-03-19,COVID,323,6524,0.04950950337216432,0.04003066414539063
2022-03-19,FluA,55,6524,0.008430410790925812,0.00832298441048451
2022-03-20,COVID,308,5800,0.05310344827586207,0.040935758727027226
2022-03-20,FluA,55,5800,0.009482758620689655,0.008697423796580037
2022-03-21,COVID,424,8652,0.04900601017105871,0.041993362989574026
2022-03-21,FluA,92,8652,0.0106333795654184,0.008946052646749986
2022-03-22,COVID,389,8425,0.04617210682492581,0.04316624434058656
2022-03-22,FluA,80,8425,0.009495548961424332,0.009122992053454893
2022-03-23,COVID,429,9459,0.045353631462099586,0.045455896766637305
2022-03-23,FluA,98,9459,0.01036050322444233,0.009488566070949046
2022-03-24,COVID,403,8196,0.049170326988775014,0.04715988785485187
2022-03-24,FluA,71,8196,0.008662762323084432,0.009381073431945624
2022-03-25,COVID,394,7410,0.05317139001349527,0.0493552024440544
2022-03-25,FluA,71,7410,0.009581646423751687,0.009521001415676663
2022-03-26,COVID,332,5427,0.06117560346416068,0.05102178817148245
2022-03-26,FluA,60,5427,0.01105583195135434,0.009896061581452167
2022-03-27,COVID,306,5074,0.06030744974379188,0.05205093123832956
2022-03-27,FluA,38,5074,0.007489160425699646,0.009611261839310738
2022-03-28,COVID,450,7210,0.06241331484049931,0.05396626047682108
2022-03-28,FluA,69,7210,0.00957004160887656,0.009459356416947617
2022-03-29,COVID,454,7536,0.06024416135881104,0.05597655398166183
2022-03-29,FluA,77,7536,0.010217622080679405,0.009562509719698343
2022-03-30,COVID,457,8356,0.05469123982766874,0.05731049803388599
2022-03-30,FluA,113,8356,0.013523216850167545,0.010014325951944802
2022-03-31,COVID,436,7261,0.06004682550612863,0.058864283536365074
2022-03-31,FluA,68,7261,0.009365101225726483,0.010114660080893666
2022-04-01,COVID,466,7463,0.06244137746214659,0.06018856745760098
2022-04-01,FluA,71,7463,0.009513600428781991,0.010104939224469424
2022-04-02,COVID,443,5411,0.08187026427647386,0.06314494757364572
2022-04-02,FluA,51,5411,0.009425244871557938,0.009871998213069938
2022-04-03,COVID,484,4919,0.0983939825167717,0.06858588082692856
2022-04-03,FluA,52,4919,0.010571254319983736,0.010312297340824809
2022-04-04,COVID,613,7106,0.0862651280607937,0.07199328271554203
2022-04-04,FluA,97,7106,0.013650436251055446,0.010895210861136078
2022-04-05,COVID,552,7298,0.07563716086599068,0.07419228264513912
2022-04-05,FluA,70,7298,0.00959166895039737,0.0108057889853815
2022-04-06,COVID,649,7810,0.08309859154929577,0.07825047574822871
2022-04-06,FluA,98,7810,0.012548015364916773,0.010666474487488534
2022-04-07,COVID,628,7333,0.08564025637528978,0.08190668015810887
2022-04-07,FluA,91,7333,0.012409654984317469,0.011101410738715818
2022-04-08,COVID,638,6780,0.09410029498525074,0.08642938266140945
2022-04-08,FluA,68,6780,0.010029498525073746,0.011175110466757497
2022-04-09,COVID,544,5065,0.10740375123395854,0.09007702365533585
2022-04-09,FluA,49,5065,0.009674234945705825,0.011210680477350052
2022-04-10,COVID,575,5221,0.11013215859030837,0.09175390595155539
2022-04-10,FluA,45,5221,0.008619038498371959,0.010931792502834084
2022-04-11,COVID,763,7625,0.1000655737704918,0.09372539819579795
2022-04-11,FluA,100,7625,0.013114754098360656,0.010855266481020542
2022-04-12,COVID,832,8072,0.10307234886025768,0.09764471076640753
2022-04-12,FluA,103,8072,0.012760158572844401,0.011307907855655832
2022-04-13,COVID,859,8335,0.10305938812237553,0.10049625313399034
2022-04-13,FluA,113,8335,0.013557288542291542,0.011452089738137942
2022-04-14,COVID,948,7886,0.12021303575957393,0.10543522161745952
2022-04-14,FluA,104,7886,0.013187927973624143,0.011563271593753182
2022-04-15,COVID,904,7459,0.12119587076015552,0.10930601815673162
2022-04-15,FluA,96,7459,0.012870357956830674,0.011969108655432742
2022-04-16,COVID,828,6116,0.1353826030085023,0.11330299698166645
2022-04-16,FluA,62,6116,0.010137344669718771,0.012035267187434593
2022-04-17,COVID,29,279,0.1039426523297491,0.11241878180158656
2022-04-17,FluA,1,279,0.0035842293906810036,0.011316008743478743
2022-04-18,COVID,1368,8933,0.1531400425389007,0.12000084876850212
2022-04-18,FluA,106,8933,0.011866114407254002,0.01113763164474922
2022-04-19,COVID,989,7545,0.13108018555334658,0.12400196829608623
2022-04-19,FluA,106,7545,0.014049039098740888,0.011321757434163002
2022-04-20,COVID,1125,8416,0.13367395437262358,0.1283754777604074
2022-04-20,FluA,79,8416,0.009386882129277567,0.010725985089446721
2022-04-21,COVID,1030,8052,0.12791852955787383,0.12947626258873596
2022-04-21,FluA,118,8052,0.014654744162940884,0.010935530259349112
2022-04-22,COVID,992,6993,0.14185614185614184,0.13242772988816257
2022-04-22,FluA,59,6993,0.008437008437008437,0.010302194613660222
2022-04-23,COVID,1030,5805,0.17743324720068906,0.13843496477276068
2022-04-23,FluA,51,5805,0.008785529715762274,0.010109078191666437
2022-04-24,COVID,959,5251,0.18263187964197294,0.1496762829602212
2022-04-24,FluA,46,5251,0.008760236145496095,0.010848507728068594
2022-04-25,COVID,1379,8129,0.1696395620617542,0.15203335717777172
2022-04-25,FluA,96,8129,0.011809570672899495,0.010840430051732236
2022-04-26,COVID,1342,8076,0.16617137196631995,0.1570463838081965
2022-04-26,FluA,84,8076,0.010401188707280832,0.01031930856723794
2022-04-27,COVID,1435,9180,0.15631808278867101,0.16028125929620327
2022-04-27,FluA,99,9180,0.010784313725490196,0.010518941652411174
2022-04-28,COVID,1337,8380,0.15954653937947494,0.1647995464135749
2022-04-28,FluA,97,8380,0.011575178997613365,0.0100790037716501
2022-04-29,COVID,1255,7559,0.1660272522820479,0.1682525621887043
2022-04-29,FluA,81,7559,0.010715703135335361,0.010404531585696803
2022-04-30,COVID,1211,6422,0.18857053877296792,0.169843603841887
2022-04-30,FluA,67,6422,0.010432886951105575,0.01063986833360299
2022-05-01,COVID,1172,5594,0.20951018948873792,0.17368336239142484
2022-05-01,FluA,75,5594,0.013407222023596711,0.011303723459045931
2022-05-02,COVID,1817,9283,0.19573413767101153,0.17741115890703305
2022-05-02,FluA,110,9283,0.011849617580523537,0.011309444445849368
2022-05-03,COVID,1856,9418,0.19706944149500955,0.18182516883970296
2022-05-03,FluA,111,9418,0.011785941813548525,0.011507266318173325
2022-05-04,COVID,1561,9202,0.16963703542708106,0.18372787635947582
2022-05-04,FluA,107,9202,0.011627906976744186,0.011627779639781038
2022-05-05,COVID,1798,9595,0.1873892652423137,0.18770540862559565
2022-05-05,FluA,111,9595,0.01156852527357999,0.011626829107776269
2022-05-06,COVID,1799,9580,0.18778705636743215,0.1908139520663648
2022-05-06,FluA,98,9580,0.01022964509394572,0.011557392244720606
2022-05-07,COVID,1631,7454,0.21880869331902333,0.19513368843008702
2022-05-07,FluA,76,7454,0.010195867990340756,0.011523532393182776
2022-05-08,COVID,1542,6474,0.2381835032437442,0.19922987610937362
2022-05-08,FluA,69,6474,0.010658016682113068,0.011130788772970827
2022-05-09,COVID,2484,10445,0.23781713738630925,0.20524173321155903
2022-05-09,FluA,135,10445,0.01292484442316898,0.01128439260763446
2022-05-10,COVID,2397,10554,0.22711768050028425,0.20953433878374114
2022-05-10,FluA,127,10554,0.01203335228349441,0.011319736960483873
2022-05-11,COVID,1903,9896,0.19229991915925626,0.2127718936026233
2022-05-11,FluA,112,9896,0.01131770412287793,0.011275422267074408
2022-05-12,COVID,2357,11251,0.20949248955648386,0.2159294970760762
2022-05-12,FluA,140,11251,0.012443338369922674,0.011400395566551935
2022-05-13,COVID,2163,10111,0.2139254277519533,0.21966355013100777
2022-05-13,FluA,114,10111,0.011274849174166749,0.011549710435154936
2022-05-14,COVID,1973,8134,0.24256208507499386,0.22305689181043212
2022-05-14,FluA,96,8134,0.011802311285960166,0.01177920233452914
2022-05-15,COVID,2033,7498,0.27113897039210455,0.2277648156887693
2022-05-15,FluA,79,7498,0.010536142971459056,0.01176179180443571
2022-05-16,COVID,3037,11560,0.26271626297577855,0.2313218336301221
2022-05-16,FluA,122,11560,0.01055363321799308,0.011423047346553439
2022-05-17,COVID,2805,11392,0.2462254213483146,0.23405151089412643
2022-05-17,FluA,152,11392,0.013342696629213483,0.01161009653879902
2022-05-18,COVID,2806,12038,0.23309519853796312,0.23987940794822743
2022-05-18,FluA,155,12038,0.012875893005482638,0.01183269495059969
2022-05-19,COVID,2900,11729,0.2472504049791116,0.24527339586574565
2022-05-19,FluA,151,11729,0.012874072810981328,0.0118942284421795
2022-05-20,COVID,2640,10902,0.24215740231150248,0.24930653508853842
2022-05-20,FluA,135,10902,0.012383048981838195,0.012052542700418278
2022-05-21,COVID,2287,8837,0.25879823469503227,0.2516259850342582
2022-05-21,FluA,83,8837,0.009392327713024782,0.01170825933285608
2022-05-22,COVID,2207,7977,0.2766704274790021,0.2524161931895293
2022-05-22,FluA,104,7977,0.013037482762943463,0.012065593588782423
2022-05-23,COVID,3434,12537,0.273909228683098,0.2540151882905749
2022-05-23,FluA,142,12537,0.011326473638031426,0.012175999363073616
2022-05-24,COVID,3239,12725,0.2545383104125737,0.25520274387118336
2022-05-24,FluA,167,12725,0.0131237721021611,0.012144724430637561
2022-05-25,COVID,3162,13579,0.23285956255983503,0.2551690815885936
2022-05-25,FluA,143,13579,0.010530966934236689,0.011809734991888142
2022-05-26,COVID,3204,12862,0.24910589332918676,0.25543415135289005
2022-05-26,FluA,142,12862,0.011040273674389676,0.01154776368666076
2022-05-27,COVID,3108,12903,0.24087421529876774,0.25525083892249933
2022-05-27,FluA,161,12903,0.012477718360071301,0.011561287883551206
2022-05-28,COVID,2472,10192,0.2425431711145997,0.2529286869824376
2022-05-28,FluA,121,10192,0.011872056514913657,0.011915534855249616
2022-05-29,COVID,2615,9693,0.2697823171360776,0.25194467121916264
2022-05-29,FluA,120,9693,0.012380068090374497,0.01182161847345405
2022-05-30,COVID,175,781,0.22407170294494239,0.24482502468514042
2022-05-30,FluA,5,781,0.006402048655569782,0.011118129190245244
2022-05-31,COVID,4909,16560,0.29643719806763286,0.2508105800644346
2022-05-31,FluA,211,16560,0.012741545893719806,0.011063525446182202
2022-06-01,COVID,3712,14110,0.26307583274273566,0.2551271900905632
2022-06-01,FluA,195,14110,0.013819985825655563,0.01153338528781347
2022-06-02,COVID,3464,13101,0.2644072971528891,0.25731310492252074
2022-06-02,FluA,178,13101,0.013586749103121899,0.011897167491918072
2022-06-03,COVID,3025,12040,0.25124584717607973,0.2587947666192796
2022-06-03,FluA,132,12040,0.010963455149501661,0.01168084417612241
2022-06-04,COVID,2405,9634,0.24963670334232926,0.25980812836609807
2022-06-04,FluA,69,9634,0.007162134108366203,0.011007998118044201
2022-06-05,COVID,2422,8436,0.28710289236605024,0.2622824962560942
2022-06-05,FluA,79,8436,0.009364627785680417,0.010577220931659333
2022-06-06,COVID,3603,12390,0.2907990314769976,0.2718149717606735
2022-06-06,FluA,119,12390,0.0096045197740113,0.011034716805722407
2022-06-07,COVID,3229,11742,0.27499574178163855,0.26875190657696
2022-06-07,FluA,122,11742,0.010390052801907681,0.010698789221177818
2022-06-08,COVID,3101,12754,0.24313940724478594,0.26590384579153864
2022-06-08,FluA,111,12754,0.00870315195232868,0.009967812953559693
2022-06-09,COVID,2908,12042,0.24148812489619664,0.26262967832629686
2022-06-09,FluA,105,12042,0.008719481813652218,0.009272489055064023
2022-06-10,COVID,2745,11112,0.24703023758099352,0.26202744838414166
2022-06-10,FluA,89,11112,0.008009359251259899,0.008850475355315201
2022-06-11,COVID,2183,8593,0.2540439892936111,0.26265706066289624
2022-06-11,FluA,52,8593,0.006051437216338881,0.008691804370739869
2022-06-12,COVID,2226,7503,0.2966813274690124,0.26402540853474793
2022-06-12,FluA,61,7503,0.008130081300813009,0.008515440587187381
