age_bin,collection_date,positive_result,positivity_7day
25-44,2022-01-24,COVID,0.31259581109487333
25-44,2022-01-25,COVID,0.30488969352463385
25-44,2022-01-26,COVID,0.29685379018524255
25-44,2022-01-27,COVID,0.2893210916474117
25-44,2022-01-28,COVID,0.283915287665904
25-44,2022-01-29,COVID,0.2778998838676498
25-44,2022-01-30,COVID,0.2716835661138533
25-44,2022-01-31,COVID,0.2623200085742726
25-44,2022-02-01,COVID,0.2538484192041304
25-44,2022-02-02,COVID,0.24429276724370758
25-44,2022-02-03,COVID,0.23321589558915304
25-44,2022-02-04,COVID,0.22354950548393263
25-44,2022-02-05,COVID,0.21554322562394382
25-44,2022-02-06,COVID,0.20739029878424656
25-44,2022-02-07,COVID,0.19850951861331625
25-44,2022-02-08,COVID,0.19010052050149023
25-44,2022-02-09,COVID,0.1824579239152249
25-44,2022-02-10,COVID,0.1781228126022091
25-44,2022-02-11,COVID,0.16869595078314817
25-44,2022-02-12,COVID,0.16106422874941292
25-44,2022-02-13,COVID,0.15003338945097267
25-44,2022-02-14,COVID,0.14295912426483806
25-44,2022-02-15,COVID,0.13351508159453154
25-44,2022-02-16,COVID,0.12500418264887483
25-44,2022-02-17,COVID,0.11679036747853791
25-44,2022-02-18,COVID,0.10931085818933366
25-44,2022-02-19,COVID,0.10046037659847477
25-44,2022-02-20,COVID,0.09586678640408865
25-44,2022-02-21,COVID,0.0883628442571628
25-44,2022-02-22,COVID,0.08501946941362651
25-44,2022-02-23,COVID,0.08097020880230818
25-44,2022-02-24,COVID,0.07813247036886661
25-44,2022-02-25,COVID,0.07455956592929616
25-44,2022-02-26,COVID,0.07184487023746343
25-44,2022-02-27,COVID,0.06881074760021254
25-44,2022-02-28,COVID,0.06638363773323454
25-44,2022-03-01,COVID,0.06228949637146699
25-44,2022-03-02,COVID,0.0619570224640645
25-44,2022-03-03,COVID,0.05926359097895127
25-44,2022-03-04,COVID,0.05842927207707292
25-44,2022-03-05,COVID,0.05751634757581405
25-44,2022-03-06,COVID,0.0535740752207713
25-44,2022-03-07,COVID,0.053406737806114636
25-44,2022-03-08,COVID,0.05204069962381817
25-44,2022-03-09,COVID,0.04874245482535417
25-44,2022-03-10,COVID,0.046729586133047375
25-44,2022-03-11,COVID,0.043881406663768927
25-44,2022-03-12,COVID,0.039435201757823925
25-44,2022-03-13,COVID,0.04023873954072464
25-44,2022-03-14,COVID,0.038080177028902415
25-44,2022-03-15,COVID,0.03829649345656277
25-44,2022-03-16,COVID,0.03805085486955407
25-44,2022-03-17,COVID,0.03837806486882529
25-44,2022-03-18,COVID,0.039054166786645236
25-44,2022-03-19,COVID,0.04124861705853728
25-44,2022-03-20,COVID,0.04185111244279126
25-44,2022-03-21,COVID,0.04382226275665916
25-44,2022-03-22,COVID,0.04568903754214664
25-44,2022-03-23,COVID,0.04848031405176055
25-44,2022-03-24,COVID,0.04957226317602602
25-44,2022-03-25,COVID,0.05195605136041468
25-44,2022-03-26,COVID,0.05514532085620504
25-44,2022-03-27,COVID,0.05609094675584321
25-44,2022-03-28,COVID,0.05748810324461662
25-44,2022-03-29,COVID,0.05945253574785309
25-44,2022-03-30,COVID,0.06062567269041717
25-44,2022-03-31,COVID,0.06354362851177607
25-44,2022-04-01,COVID,0.06621200994505097
25-44,2022-04-02,COVID,0.06756579206737694
25-44,2022-04-03,COVID,0.07476929719824285
25-44,2022-04-04,COVID,0.07656474315408016
25-44,2022-04-05,COVID,0.07803421068885961
25-44,2022-04-06,COVID,0.08200605624015389
25-44,2022-04-07,COVID,0.08567257139088467
25-44,2022-04-08,COVID,0.08875721862202939
25-44,2022-04-09,COVID,0.09261867867038524
25-44,2022-04-10,COVID,0.09207700026517447
25-44,2022-04-11,COVID,0.09427272336354689
25-44,2022-04-12,COVID,0.09826218355939922
25-44,2022-04-13,COVID,0.10159236262908822
25-44,2022-04-14,COVID,0.1057849746479268
25-44,2022-04-15,COVID,0.10971335951848663
25-44,2022-04-16,COVID,0.11501878775192852
25-44,2022-04-17,COVID,0.1167948508200954
25-44,2022-04-18,COVID,0.1250845222442206
25-44,2022-04-19,COVID,0.1285135185932592
25-44,2022-04-20,COVID,0.13287437939055133
25-44,2022-04-21,COVID,0.13366834262343727
25-44,2022-04-22,COVID,0.13617033072817564
25-44,2022-04-23,COVID,0.14070202561549366
25-44,2022-04-24,COVID,0.14886419120443753
25-44,2022-04-25,COVID,0.15071898936900827
25-44,2022-04-26,COVID,0.1565587263937617
25-44,2022-04-27,COVID,0.15979900348597328
25-44,2022-04-28,COVID,0.1637426828155478
25-44,2022-04-29,COVID,0.16789359030380427
25-44,2022-04-30,COVID,0.1703995289471004
25-44,2022-05-01,COVID,0.17506356637752454
25-44,2022-05-02,COVID,0.17931736021281433
25-44,2022-05-03,COVID,0.18465078652726902
25-44,2022-05-04,COVID,0.18681712981281387
25-44,2022-05-05,COVID,0.19232951634561185
25-44,2022-05-06,COVID,0.19610753646629436
25-44,2022-05-07,COVID,0.20023747148561696
25-44,2022-05-08,COVID,0.20479614784596928
25-44,2022-05-09,COVID,0.21166119323896013
25-44,2022-05-10,COVID,0.21535710757277027
25-44,2022-05-11,COVID,0.2196632783054302
25-44,2022-05-12,COVID,0.2227828343444708
25-44,2022-05-13,COVID,0.2267949582807109
25-44,2022-05-14,COVID,0.23190078796152744
25-44,2022-05-15,COVID,0.23585535345066377
25-44,2022-05-16,COVID,0.23919901489037157
25-44,2022-05-17,COVID,0.24369975875924127
25-44,2022-05-18,COVID,0.24809856985648393
25-44,2022-05-19,COVID,0.25373545168480593
25-44,2022-05-20,COVID,0.2571492298976213
25-44,2022-05-21,COVID,0.259502763483489
25-44,2022-05-22,COVID,0.26364197018657837
25-44,2022-05-23,COVID,0.26581861186370775
25-44,2022-05-24,COVID,0.2644016074135689
25-44,2022-05-25,COVID,0.2643529548773654
25-44,2022-05-26,COVID,0.26597894978739667
25-44,2022-05-27,COVID,0.266275979188641
25-44,2022-05-28,COVID,0.26368330063020357
25-44,2022-05-29,COVID,0.2622829672542228
25-44,2022-05-30,COVID,0.25143467681742887
25-44,2022-05-31,COVID,0.26036394429155857
25-44,2022-06-01,COVID,0.26675059200731993
25-44,2022-06-02,COVID,0.2708336951018017
25-44,2022-06-03,COVID,0.2729791555395235
25-44,2022-06-04,COVID,0.2753527681025164
25-44,2022-06-05,COVID,0.27726155444350464
25-44,2022-06-06,COVID,0.2908518425499847
25-44,2022-06-07,COVID,0.2868363130064724
25-44,2022-06-08,COVID,0.28563079884645454
25-44,2022-06-09,COVID,0.28109805897279594
25-44,2022-06-10,COVID,0.28000008595646086
25-44,2022-06-11,COVID,0.28173093374216734
25-44,2022-06-12,COVID,0.28469154815293285
25-44,2022-06-13,COVID,0.28384206241961774
25-44,2022-06-14,COVID,0.28415544666989573
25-44,2022-06-15,COVID,0.2848194516802284
25-44,2022-06-16,COVID,0.2867483511029258
25-44,2022-06-17,COVID,0.2900182668994354
25-44,2022-06-18,COVID,0.29047431153012676
25-44,2022-06-19,COVID,0.29261877413250476
25-44,2022-06-20,COVID,0.29798039739051113
25-44,2022-06-21,COVID,0.29962101786290696
25-44,2022-06-22,COVID,0.30273321670442666
25-44,2022-06-23,COVID,0.30469587870156295
45-64,2021-11-02,COVID,0.27408847638915496
45-64,2021-11-03,COVID,0.24010577668269614
45-64,2021-11-04,COVID,0.2011346100326574
45-64,2021-11-05,COVID,0.16330312318635679
45-64,2021-11-06,COVID,0.13176466260576863
45-64,2021-11-07,COVID,0.09924916069323426
45-64,2021-11-08,COVID,0.06806983611925292
45-64,2021-11-09,COVID,0.06956873688608588
45-64,2021-11-10,COVID,0.07301720564739365
45-64,2021-11-11,COVID,0.07437691637091824
45-64,2021-11-12,COVID,0.07635298490640484
45-64,2021-11-13,COVID,0.07684745769639213
45-64,2021-11-14,COVID,0.07707612740934626
45-64,2021-11-15,COVID,0.07981273110274315
45-64,2021-11-16,COVID,0.0802709981401247
45-64,2021-11-17,COVID,0.07835306974408017
45-64,2021-11-18,COVID,0.07771398717275545
45-64,2021-11-19,COVID,0.07758444891861674
45-64,2021-11-20,COVID,0.07845670280044477
45-64,2021-11-21,COVID,0.07833791370035284
45-64,2021-11-22,COVID,0.07703636017248582
45-64,2021-11-23,COVID,0.07665306190637085
45-64,2021-11-24,COVID,0.07845053295631836
45-64,2021-11-25,COVID,0.08468631521099382
45-64,2021-11-26,COVID,0.08432928803598362
45-64,2021-11-27,COVID,0.08486518201817754
45-64,2021-11-28,COVID,0.08634896026184416
45-64,2021-11-29,COVID,0.08852153003645635
45-64,2021-11-30,COVID,0.0906039917402961
45-64,2021-12-01,COVID,0.09197453720714845
45-64,2021-12-02,COVID,0.08755879762929829
45-64,2021-12-03,COVID,0.0885209611387139
45-64,2021-12-04,COVID,0.08770621324327961
45-64,2021-12-05,COVID,0.0878524241607166
45-64,2021-12-06,COVID,0.08767058940611007
45-64,2021-12-07,COVID,0.08733564189541485
45-64,2021-12-08,COVID,0.08629400097751937
45-64,2021-12-09,COVID,0.0860488967030464
45-64,2021-12-10,COVID,0.08781495215275129
45-64,2021-12-11,COVID,0.08847115185699159
45-64,2021-12-12,COVID,0.08856218973780447
45-64,2021-12-13,COVID,0.08851229067240625
45-64,2021-12-14,COVID,0.08942998848062303
45-64,2021-12-15,COVID,0.09064742232607423
45-64,2021-12-16,COVID,0.09197435496213813
45-64,2021-12-17,COVID,0.09324856441237654
45-64,2021-12-18,COVID,0.09489269932580457
45-64,2021-12-19,COVID,0.09686927543566869
45-64,2021-12-20,COVID,0.09899270135526783
45-64,2021-12-21,COVID,0.10133142685658059
45-64,2021-12-22,COVID,0.10726734495071329
45-64,2021-12-23,COVID,0.11463582910822402
45-64,2021-12-24,COVID,0.12352411248591426
45-64,2021-12-25,COVID,0.1087398937136596
45-64,2021-12-26,COVID,0.12201234919945021
45-64,2021-12-27,COVID,0.1402760257791215
45-64,2021-12-28,COVID,0.16184181020727584
45-64,2021-12-29,COVID,0.17995711379571958
45-64,2021-12-30,COVID,0.19760897915436512
45-64,2021-12-31,COVID,0.22398365207468965
45-64,2022-01-01,COVID,0.2737428816092001
45-64,2022-01-02,COVID,0.2868639852466467
45-64,2022-01-03,COVID,0.2959120322898863
45-64,2022-01-04,COVID,0.30586271361529704
45-64,2022-01-05,COVID,0.3134062543580117
45-64,2022-01-06,COVID,0.3185060501764844
45-64,2022-01-07,COVID,0.3077787280162142
45-64,2022-01-08,COVID,0.29923068401919223
45-64,2022-01-09,COVID,0.29935196938413
45-64,2022-01-10,COVID,0.29863867273432637
45-64,2022-01-11,COVID,0.2956665816854063
45-64,2022-01-12,COVID,0.2918942609325774
45-64,2022-01-13,COVID,0.2905689830530069
45-64,2022-01-14,COVID,0.2887177021584836
45-64,2022-01-15,COVID,0.28670976452761776
45-64,2022-01-16,COVID,0.28739079653233873
45-64,2022-01-17,COVID,0.2892621459323487
45-64,2022-01-18,COVID,0.29281947209797293
45-64,2022-01-19,COVID,0.29604867502620286
45-64,2022-01-20,COVID,0.2978993518666737
45-64,2022-01-21,COVID,0.30152300273392635
45-64,2022-01-22,COVID,0.30366769776714236
45-64,2022-01-23,COVID,0.30336089844142083
45-64,2022-01-24,COVID,0.3011586860713192
45-64,2022-01-25,COVID,0.29446570138083833
45-64,2022-01-26,COVID,0.2869009233999446
45-64,2022-01-27,COVID,0.2818892844300974
45-64,2022-01-28,COVID,0.276859176331862
45-64,2022-01-29,COVID,0.2725007565906549
45-64,2022-01-30,COVID,0.2637592861278071
45-64,2022-01-31,COVID,0.25515362424063415
45-64,2022-02-01,COVID,0.24935627687585935
45-64,2022-02-02,COVID,0.24463347541873595
45-64,2022-02-03,COVID,0.23496588361677967
45-64,2022-02-04,COVID,0.22715434969216863
45-64,2022-02-05,COVID,0.22038169030912694
45-64,2022-02-06,COVID,0.21523860075552254
45-64,2022-02-07,COVID,0.20822215119781598
45-64,2022-02-08,COVID,0.19776623459755366
45-64,2022-02-09,COVID,0.1870964248692609
45-64,2022-02-10,COVID,0.1802722767095057
45-64,2022-02-11,COVID,0.17228731721903096
45-64,2022-02-12,COVID,0.16212947765872096
45-64,2022-02-13,COVID,0.15145220420916278
45-64,2022-02-14,COVID,0.14122359484201535
45-64,2022-02-15,COVID,0.13250679821803402
